house_built_period,house_architecture,house_type,no_stories,area_square_feet,relationship,gender,current_educational_attendance,main_occupation,average_monthly_expenditure_food.Rs.,average_monthly_expenditure_non_food.Rs.,outside_walls_material,ventilation_and_lighting_other_than_windows_and_doors,major_type_of_roof_installation,no_red_notices_last year,bill_payment_practice,wiring_done_by_a_professional_electrician,electricity_generation,purposes_of_solar energy,electricity_bill_calculation,ironing_clothes_behavior,night_lighting_behavior,electricity_meter_overconsumption,energy_rating_of_appliance_check,district_residing,secretarial_division
2000-2009,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House - Single Floor,1,3000,Son/daughter,Female,Does not attend,Professional,40000,30000,Brick,Window walls (the wall is covered more than 80% by windows),Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,Other,LECO/ CEB described to me how the bill is calculated.,We iron when and where the need arises.,We keep more than two lights on when sleeping,Never,Yes,Kurunegala,Bingiriya
2000-2009,I am not aware of it,Single House -Double Floor,2,2000,Son/daughter,Female,University,Professional,25000,25000,Brick,Transparent roofing parts,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,Solar Energy,Water heating,I learnt the calculation by reading the monthly bill.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,Never,No,Matara,Matara
2010-2019,House was designed barely to pass the statutory requirements of the local authorities.,Single House - Single Floor,1,500,Parents of the head of the household/spouse,Male,University,Elementary occupation,50000,50000,Brick,Transparent roofing parts,Tile,10,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,Other,I am not aware of how the bill is calculated.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Matara,Dickwella
2000-2009,No such professional designing was done; the house was designed to suit our needs and wants.,Single House -Double Floor,2,2000,Son/daughter,Male,University,Professional,50000,100000,Brick,Transparent walls (clear glass/ semi-transparent glass),Concrete,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),I am not aware of it,None of the above,,I learnt the calculation by reading the monthly bill.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,Never,Yes,Ampara,Sammanthurai
Before 1980,I am not aware of it,Single House - Single Floor,1,1089,Son/daughter,Male,Does not attend,"Legislator, senior official, and manager",60000,40000,Brick,Other,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,None of the above,,I got to know through the media.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,"Rarely, once a year",Yes,Gampaha,Negombo
Before 1980,I am not aware of it,Single House - Single Floor,1,5445,Son/daughter,Male,Does not attend,Related to forces,10000,5000,Brick,Transparent roofing parts,Other,2,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,A friend described the bill calculation.,We iron the cloths daily.,We don’t keep any of the lights on when sleeping.,"Yes, some of the months",No,Kurunegala,Alawwa
2010-2019,No such professional designing was done; the house was designed to suit our needs and wants.,Single House -Double Floor,2,2800,Son/daughter,Female,University,Professional,50000,50000,Brick,Window walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,Other,LECO/ CEB described to me how the bill is calculated.,We iron the clothes weekly.,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Kandy,Yatinuwara
2000-2009,The house was designed by a certified architect.,Single House -Double Floor,2,4300,Son/daughter,Female,Other educational institution,No occupation,100000,100000,Cement Block,Window walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,Other,I got to know through the media.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,Never,Yes,Colombo,homagama
1980-1989,No such professional designing was done; the house was designed to suit our needs and wants.,Single House - Single Floor,1,1300,Son/daughter,Male,University,Professional,60000,60000,Brick,Other,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,None of the above,Other,I learnt the calculation by reading the monthly bill.,We iron the clothes weekly.,We don’t keep any of the lights on when sleeping.,Never,Yes,Kalutara,Horana
Before 1980,No such professional designing was done; the house was designed to suit our needs and wants.,Single House -Double Floor,1,2400,Grandson/ Granddaughter,Female,University,"Legislator, senior official, and manager",10000,20000,Cement Block,Window walls (the wall is covered more than 80% by windows),Tile,1,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,None of the above,,I am not aware of how the bill is calculated.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,"Rarely, once a year",No,Kalutara,Horana
1990-1999,I am not aware of it,Single House - Single Floor,1,1000,Son/daughter,Male,Does not attend,Professional,30000,20000,Brick,Transparent roofing parts,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I got to know through the media.,We iron the clothes weekly.,We keep less than two-night lights on when sleeping,"Yes, some of the months",No,Kegalle,Rambukkana
